"Document Name","URL","File ID","Category","Priority","Notes"
"Winning the next wave of search: How generative AI is reshaping retail_v1.1","https://docs.google.com/document/d/1_8wPJxuSvHwgP6Zh6aYHg2Iyg3954zH941i-3wap9qY/edit?usp=drivesdk","1_8wPJxuSvHwgP6Zh6aYHg2Iyg3954zH941i-3wap9qY","Other","Medium",""
"CommerceIQ Copilot for Amazon - Demo Video (3 min) Sept 25","https://drive.google.com/file/d/1YxGs5BXDM2YiWZb871mdpwwklm-GYCGJ/view?usp=drivesdk","1YxGs5BXDM2YiWZb871mdpwwklm-GYCGJ","Video","Low","Videos cannot be indexed"
"AllyAI Teammate I Teaser Video","https://drive.google.com/file/d/1gKRkdxj0v4XAhSCw1_7m8sr0VOcTaYsu/view?usp=drivesdk","1gKRkdxj0v4XAhSCw1_7m8sr0VOcTaYsu","Video","Low","Videos cannot be indexed"
"IndustryTrends-TheStateofRetailEcomm-Q3.pptx","https://docs.google.com/presentation/d/1MiXqYL31vf-WD4ckUS2Oj2VPUMFcLcIA/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1MiXqYL31vf-WD4ckUS2Oj2VPUMFcLcIA","Industry Report","Low",""
"AllyAI Media Teammate","https://docs.google.com/presentation/d/1_m50KB13PrTeJe0p6QYHT9zlRwcALL1DuuP1GLq_f2g/edit?usp=drivesdk","1_m50KB13PrTeJe0p6QYHT9zlRwcALL1DuuP1GLq_f2g","Other","Medium",""
"RMM Key Product Capabilities","https://docs.google.com/presentation/d/1conVvKYbtQymKCePCwwJ1X4jZrPwtn1tuXw25h0-i0U/edit?usp=drivesdk","1conVvKYbtQymKCePCwwJ1X4jZrPwtn1tuXw25h0-i0U","Other","Medium",""
"Retail Media Management (RMM)","https://drive.google.com/drive/folders/1zeX4dFvu4XifiLUGcPTCIDONYA_9l5jg","1zeX4dFvu4XifiLUGcPTCIDONYA_9l5jg","Folder","Skip","Folder, not a document"
"Buyer Personas","https://drive.google.com/drive/folders/1QRYdl7CJ-uuJHpWGox1xHEsEOoiHDX3Y","1QRYdl7CJ-uuJHpWGox1xHEsEOoiHDX3Y","Folder","Skip","Folder, not a document"
"CommerceIQ Copilot for Amazon","https://drive.google.com/drive/folders/1AO_LM7UUJ7lGNk71uuM2iTtocCeBW-pK","1AO_LM7UUJ7lGNk71uuM2iTtocCeBW-pK","Folder","Skip","Folder, not a document"
"Digital Shelf Optimization","https://drive.google.com/drive/folders/158TfhAusg6I1g5wzg6jjJQHeHk-pdE6e","158TfhAusg6I1g5wzg6jjJQHeHk-pdE6e","Folder","Skip","Folder, not a document"
"Case Studies","https://drive.google.com/drive/folders/1AOObKZ_ZtXEQFnTBqt5GcI-AEXCcsdZb","1AOObKZ_ZtXEQFnTBqt5GcI-AEXCcsdZb","Folder","Skip","Folder, not a document"
"CIQ Brand","https://drive.google.com/drive/folders/1mcfjVvjf-sDbGnk8EDQdx8rNNAdBrKFI","1mcfjVvjf-sDbGnk8EDQdx8rNNAdBrKFI","Folder","Skip","Folder, not a document"
"Industry Reports","https://drive.google.com/drive/folders/1JXi8jyUQL6iPziuP2_Ce6dVse-ZnurZw","1JXi8jyUQL6iPziuP2_Ce6dVse-ZnurZw","Industry Report","Low",""
"Competitive Intelligence","https://drive.google.com/drive/folders/1uozKQpj_8eUA3Cabq_Kqa4JIFbtfWGmA","1uozKQpj_8eUA3Cabq_Kqa4JIFbtfWGmA","Battle Card","High",""
"Trainings","https://drive.google.com/drive/folders/17rLKU10Mbv4qTjLzrrCpc6lDP1hH6geE","17rLKU10Mbv4qTjLzrrCpc6lDP1hH6geE","Training Material","High",""
"AllyAI","https://drive.google.com/drive/folders/1xI29L5LVoghgYLl8e4W1lyp3g4_0qzeB","1xI29L5LVoghgYLl8e4W1lyp3g4_0qzeB","Folder","Skip","Folder, not a document"
"White Papers","https://drive.google.com/drive/folders/1lu0Riw9onIqALoGkLZEqVnsiKIrmKUeg","1lu0Riw9onIqALoGkLZEqVnsiKIrmKUeg","Folder","Skip","Folder, not a document"
"CommerceIQ-CategoryIQ-Liquid-Body-Wash-April-2025.ppt","https://docs.google.com/presentation/d/1afaiqvl7qlHFeXQv3EHnoqZX84KmGrJj/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1afaiqvl7qlHFeXQv3EHnoqZX84KmGrJj","Other","Medium",""
"CommerceIQ-CategoryIQ-Hair-Styling-April-2025.ppt","https://docs.google.com/presentation/d/1AAi6a2H0gbV5sbAOH9gIsNbJ3aJyQ4yo/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1AAi6a2H0gbV5sbAOH9gIsNbJ3aJyQ4yo","Other","Medium",""
"CommerceIQ Copilot for Amazon - Product Features","https://docs.google.com/presentation/d/1BH5OgDHepWhXc8Tb8NwRzb1Gwa-Y-fzvf-abaD5zZrE/edit?usp=drivesdk","1BH5OgDHepWhXc8Tb8NwRzb1Gwa-Y-fzvf-abaD5zZrE","Other","Medium",""
"RMM Second call deck","https://docs.google.com/presentation/d/1PnyetK3P8BjeWlb8D-3G3iBjUc_ZTaHBwonikDqSgdU/edit?usp=drivesdk","1PnyetK3P8BjeWlb8D-3G3iBjUc_ZTaHBwonikDqSgdU","Presentation/Deck","High",""
"RMM First Call Deck","https://docs.google.com/presentation/d/1Y_Rpyro9KsB0Av8fuoIMDearwUaFOz9FFYbz-8vbg-I/edit?usp=drivesdk","1Y_Rpyro9KsB0Av8fuoIMDearwUaFOz9FFYbz-8vbg-I","Presentation/Deck","High",""
"Henkel_Winning the Next Wave of Search.pdf","https://drive.google.com/file/d/1fyZMrbW_ubpKl_sUjQ8-A9laMZxjiMhW/view?usp=drivesdk","1fyZMrbW_ubpKl_sUjQ8-A9laMZxjiMhW","PDF Document","High",""
"DSO","https://drive.google.com/drive/folders/1l672i99C0wBVbIE0uzKJyBuUN_p5YlZD","1l672i99C0wBVbIE0uzKJyBuUN_p5YlZD","Folder","Skip","Folder, not a document"
"CommerceIQ Copilot for Amazon - Datasheet July 25","https://drive.google.com/file/d/1lc2rUqSfhJh1LR_dD5pudrwmxscxlfnh/view?usp=drivesdk","1lc2rUqSfhJh1LR_dD5pudrwmxscxlfnh","Other","Medium",""
"Product Updates","https://drive.google.com/drive/folders/15cheZZE4PWKv7vlHLaPg440MMO8dNVmv","15cheZZE4PWKv7vlHLaPg440MMO8dNVmv","Folder","Skip","Folder, not a document"
"CommerceIQ Copilot for Amazon - Product Demo (10 min)","https://docs.google.com/videos/d/1ZmcCGHueQrJWrGAaKJav35bzsbmHPpDhDXlUwm1_znc/edit?usp=drivesdk","1ZmcCGHueQrJWrGAaKJav35bzsbmHPpDhDXlUwm1_znc","Video","Low","Videos cannot be indexed"
"CommerceIQ Copilot for Amazon - Pricing August 25 Internal","https://drive.google.com/file/d/1knRppeJirOOT2yCVr-mPTOX2gQzNEF1r/view?usp=drivesdk","1knRppeJirOOT2yCVr-mPTOX2gQzNEF1r","Other","Medium",""
"CommerceIQ Copilot for Amazon - Demo Video August 25","https://drive.google.com/file/d/1M5QlHtHBpnsdqvfnySl_ywDYoslliaHa/view?usp=drivesdk","1M5QlHtHBpnsdqvfnySl_ywDYoslliaHa","Video","Low","Videos cannot be indexed"
"AllyAI-Category-Teammate-2025.pdf","https://drive.google.com/file/d/1QYdZH9V1pnMqjiambnyno9Zt9XmHqW-Y/view?usp=drivesdk","1QYdZH9V1pnMqjiambnyno9Zt9XmHqW-Y","PDF Document","High",""
"AllyAI-Sales-Teammate Datasheet July 25","https://drive.google.com/file/d/11RNl7g1id2p1fA7x-L1pH3Co-ghqmVzG/view?usp=drivesdk","11RNl7g1id2p1fA7x-L1pH3Co-ghqmVzG","Other","Medium",""
"RMM Datasheet July 25","https://drive.google.com/file/d/1MN4As8CGFJisl9no2hcLx4Fty3gBCE-W/view?usp=drivesdk","1MN4As8CGFJisl9no2hcLx4Fty3gBCE-W","Other","Medium",""
"DSO_OnePager_Jul25.PDF","https://drive.google.com/file/d/19jXKJrDkGaxjmfE0s_evFLQT4HSiqoER/view?usp=drivesdk","19jXKJrDkGaxjmfE0s_evFLQT4HSiqoER","PDF Document","High",""
"AI Goal Optimizer Media Teammate Sell Sheet June 2025","https://drive.google.com/file/d/1YmUoZAs9usjPyYIv1WgLSBUGXdeF56K0/view?usp=drivesdk","1YmUoZAs9usjPyYIv1WgLSBUGXdeF56K0","Other","Medium",""
"AI Goal Optimizer Demo Script","https://drive.google.com/file/d/1VxF4b1tleLEOrp9O2xEt_l8CDnPl2a_E/view?usp=drivesdk","1VxF4b1tleLEOrp9O2xEt_l8CDnPl2a_E","Video","Low","Videos cannot be indexed"
"Expert IQ","https://drive.google.com/drive/folders/11gwyaOGawqHXmeU8GhVx9Ml3Yj7Vf9Ir","11gwyaOGawqHXmeU8GhVx9Ml3Yj7Vf9Ir","Folder","Skip","Folder, not a document"
"First Call Certification","https://drive.google.com/file/d/1qcUhyiYi5awvU5rmtT3sIRjzESIdCqmC/view?usp=drivesdk","1qcUhyiYi5awvU5rmtT3sIRjzESIdCqmC","Other","Medium",""
"1st call Certification","https://drive.google.com/drive/folders/1dugp50Q656ipnCojtyFsGdl7C-lVoSx0","1dugp50Q656ipnCojtyFsGdl7C-lVoSx0","Folder","Skip","Folder, not a document"
"ExpertIQ-Datasheet.pdf","https://drive.google.com/file/d/1fzWmkrGyBidwiC8ckT80ZUpfjJGV8Uul/view?usp=drivesdk","1fzWmkrGyBidwiC8ckT80ZUpfjJGV8Uul","PDF Document","High",""
"DSA-CaseStudy-Mondelēz.pdf","https://drive.google.com/file/d/1TzZym5PyOByKdCzMsD6MQAKiMvo_CIdr/view?usp=drivesdk","1TzZym5PyOByKdCzMsD6MQAKiMvo_CIdr","PDF Document","High",""
"AiGO","https://drive.google.com/drive/folders/1JiOt98QGr-dKRdEbXP-Km6D3mbs9MS8E","1JiOt98QGr-dKRdEbXP-Km6D3mbs9MS8E","Folder","Skip","Folder, not a document"
"Case Study Food ESM + RMM Synergy August 25","https://drive.google.com/file/d/1K3nhWwGPB1inWaqT-shAIRhEbrPFa7Xf/view?usp=drivesdk","1K3nhWwGPB1inWaqT-shAIRhEbrPFa7Xf","Case Study","Medium",""
"DSA-CaseStudy-BeverageGiant.PDF","https://drive.google.com/file/d/1TUAcXQLmRTR8QrC1M7Wv-B5RayRkrga2/view?usp=drivesdk","1TUAcXQLmRTR8QrC1M7Wv-B5RayRkrga2","PDF Document","High",""
"RMM Case Study EgglandsBest Sept 24","https://drive.google.com/file/d/1s4tf77Htck2TTs6SkNzCb8MTiUSZkBNc/view?usp=drivesdk","1s4tf77Htck2TTs6SkNzCb8MTiUSZkBNc","Case Study","Medium",""
"Case Study PRA GlobalHomeAppliances Sept 24","https://drive.google.com/file/d/1lnY546g_JJJO9jeJFe25zdd0rJSQseBP/view?usp=drivesdk","1lnY546g_JJJO9jeJFe25zdd0rJSQseBP","Case Study","Medium",""
"RMM Case Study GlobalSnackBrand Sept 24","https://drive.google.com/file/d/1tLCAzykwUeJ0jp9tgJ4KT0mOAuu2wya4/view?usp=drivesdk","1tLCAzykwUeJ0jp9tgJ4KT0mOAuu2wya4","Case Study","Medium",""
"RMM Case Study Incrementality-Home Essentials July 25","https://drive.google.com/file/d/1_gWVERaxEHhGDXz2hbFLIzpBMftetUc_/view?usp=drivesdk","1_gWVERaxEHhGDXz2hbFLIzpBMftetUc_","Case Study","Medium",""
"RMM Case Study Incrementality-Skincare July 25","https://drive.google.com/file/d/1m8x4lfZP0NOTOui6bYhPl1srOIEgZWiT/view?usp=drivesdk","1m8x4lfZP0NOTOui6bYhPl1srOIEgZWiT","Case Study","Medium",""
"Ally Teammate I Training v2","https://drive.google.com/file/d/1rd3fOwClllSXfHqp1UcV85fPeHtvPwdI/view?usp=drivesdk","1rd3fOwClllSXfHqp1UcV85fPeHtvPwdI","Training Material","High",""
"AI Goal Optimizer - Internal Training Deck","https://drive.google.com/file/d/1zaL99ExrItApQaobKJcHzMCjvXzsL2oF/view?usp=drivesdk","1zaL99ExrItApQaobKJcHzMCjvXzsL2oF","Presentation/Deck","High",""
"Internal - Ally","https://drive.google.com/drive/folders/1hWz8N5umrAc4MqnWH3t3qr9wepe3loLu","1hWz8N5umrAc4MqnWH3t3qr9wepe3loLu","Folder","Skip","Folder, not a document"
"DSO_Product Box_v2.1_Jul2025_INTERNAL","https://drive.google.com/file/d/17egJw1q8MfhdDCDjLoGfzvaM5lv2oirO/view?usp=drivesdk","17egJw1q8MfhdDCDjLoGfzvaM5lv2oirO","Other","Medium",""
"RMM Pricing Calculator August 25 Internal","https://drive.google.com/file/d/1RBlYoUcWeOIulgpqkpFqacssTzOfgwTT/view?usp=drivesdk","1RBlYoUcWeOIulgpqkpFqacssTzOfgwTT","Other","Medium",""
"Ally Sales Teammate II","https://drive.google.com/drive/folders/1qijTRBQWBOIN7GWS7qnojaSDMqXMAwvj","1qijTRBQWBOIN7GWS7qnojaSDMqXMAwvj","Folder","Skip","Folder, not a document"
"Buyer Personas - v2_7.20.22.pptx","https://docs.google.com/presentation/d/1B9nhoWYZcliLHJjVLNJE3GstYyoKjqNL/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1B9nhoWYZcliLHJjVLNJE3GstYyoKjqNL","Other","Medium",""
"CommerceIQ-Quarterly-Industry-Trends-2025-Q1-report-April-2025-va.pptx","https://docs.google.com/presentation/d/1CZOJDBebSOl62I2MfkIrqqG1K9JRW8qs/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1CZOJDBebSOl62I2MfkIrqqG1K9JRW8qs","Industry Report","Low",""
"CategoryIQ-IndustryReport-StuffedToys.pptx","https://docs.google.com/presentation/d/15La8cmLEDmQJwjjMvpAyhBbgtKwLTlvL/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","15La8cmLEDmQJwjjMvpAyhBbgtKwLTlvL","Industry Report","Low",""
"Internal Competitive & Industry Experience SMEs","https://docs.google.com/spreadsheets/d/1O-miPrCS1KF1uEbQ6JyBRfPZCSv26PMfiCK2n19Gyto/edit?usp=drivesdk","1O-miPrCS1KF1uEbQ6JyBRfPZCSv26PMfiCK2n19Gyto","Battle Card","High",""
"Comprehensive Prime Day Report July 2024.pptx","https://docs.google.com/presentation/d/1-FqxMV410Y-R0IJHxfAWT1JtOJay97gX/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1-FqxMV410Y-R0IJHxfAWT1JtOJay97gX","Industry Report","Low",""
"CommerceIQ-Prime-Day-2024-Insights.pptx","https://docs.google.com/presentation/d/1rWLpj4L8K0r5ytSIjgmc2hG03dKWlsYB/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1rWLpj4L8K0r5ytSIjgmc2hG03dKWlsYB","Industry Report","Low",""
"Competitive Battlecards","https://drive.google.com/drive/folders/1o19sxAD7K6Le2o08peo_eq8qXpY259fp","1o19sxAD7K6Le2o08peo_eq8qXpY259fp","Battle Card","High",""
"Other","https://drive.google.com/drive/folders/1iLmI5c4UoJNiTWRU-M5r1w9nPR8CoAp8","1iLmI5c4UoJNiTWRU-M5r1w9nPR8CoAp8","Folder","Skip","Folder, not a document"
"Competitive Updates","https://drive.google.com/drive/folders/1Gv1ZNSMiG5SUoG6GAH0yvVrPMS051REL","1Gv1ZNSMiG5SUoG6GAH0yvVrPMS051REL","Battle Card","High",""
"Legacy Battle Cards & Comparisons (for reference)","https://drive.google.com/drive/folders/16bDH8Dapep_DYrOJ0YyGSMGNb8jGziYe","16bDH8Dapep_DYrOJ0YyGSMGNb8jGziYe","Battle Card","High",""
"Profitero Comparison","https://docs.google.com/presentation/d/1V07htziv5S_HCcqkQiJO_vELv99-2e7HY_gNTS_ydXg/edit?usp=drivesdk","1V07htziv5S_HCcqkQiJO_vELv99-2e7HY_gNTS_ydXg","Other","Medium",""
